"ORDERID","USERID","SALESREPPERSONID","CONTACTPERSONID","ORDERDATE","EXPECTEDDELIVERYDATE","CUSTOMERPURCHASEORDERNUMBER","ISUNDERSUPPLYBACKORDERED","PICKINGCOMPLETEDWHEN","LASTEDITEDBY","LASTEDITEDWHEN"
5846,489,20,2177,24-07-28,24-07-31,"14406",1,,13,24-07-30
5847,462,8,2123,24-05-08,24-05-11,"14979",1,24-05-12,6,24-05-13
5848,857,14,3057,23-02-09,23-02-10,"14623",1,23-02-11,6,23-02-10
5849,61,20,1121,24-01-07,24-01-16,"18230",1,24-01-10,16,24-01-09
5850,812,8,3012,23-04-26,23-04-30,"14428",1,23-04-29,16,23-04-30
5851,995,14,3195,23-03-08,23-03-13,"16958",1,23-03-12,16,23-03-10
5852,976,7,3176,23-01-08,23-01-11,"11732",1,23-01-12,16,23-01-11
5853,47,20,1093,24-11-25,24-11-28,"17875",1,24-11-28,16,24-11-27
5854,179,2,1357,24-08-07,24-08-10,"10522",1,24-08-11,16,24-08-10
5855,838,15,3038,23-09-14,23-09-19,"10066",1,23-09-16,16,23-09-17
5856,818,15,3018,24-02-26,24-03-01,"13857",1,24-02-29,16,24-03-02
5857,492,16,2183,24-10-11,24-10-18,"12281",1,24-10-14,16,24-10-15
5858,78,16,1155,24-09-14,24-09-18,"14149",1,24-09-15,16,24-09-17
5859,893,20,3093,23-07-05,23-07-10,"12944",1,23-07-10,16,23-07-08
5860,596,16,2391,24-12-17,24-12-27,"17538",1,24-12-21,16,24-12-21
5861,37,3,1073,23-12-01,23-12-05,"14494",1,23-12-02,16,23-12-05
5862,143,7,1285,23-07-29,23-07-31,"19047",1,23-08-01,8,23-08-03
5863,1000,16,3200,23-08-31,23-09-06,"15659",1,23-09-04,16,23-09-04
5864,119,6,1237,24-05-03,24-05-12,"11829",1,24-05-07,16,24-05-08
5865,997,2,3197,23-03-23,23-03-26,"11720",1,23-03-24,8,23-03-27
5866,546,2,2291,24-02-20,24-02-27,"16541",1,24-02-21,16,24-02-22
5867,76,14,1151,24-04-15,24-04-21,"18837",1,24-04-19,16,24-04-19
5868,842,14,3042,23-06-20,23-06-25,"15906",1,23-06-22,16,23-06-24
5869,823,2,3023,24-09-22,24-09-26,"17061",1,24-09-24,16,24-09-27
5870,811,8,3011,23-12-03,23-12-12,"18346",1,23-12-07,16,23-12-05
5871,138,7,1275,23-04-30,23-05-03,"16635",1,23-05-04,16,23-05-04
5872,501,15,2201,23-05-20,23-05-28,"18810",1,23-05-24,16,23-05-23
5873,922,15,3122,24-04-14,24-04-16,"15958",1,24-04-16,16,24-04-18
5874,116,16,1231,24-05-21,24-05-30,"15988",1,24-05-26,16,24-05-23
5875,76,16,1151,24-12-30,25-01-08,"18746",1,25-01-03,16,25-01-03
5876,50,6,1099,24-02-07,24-02-13,"13204",1,24-02-10,16,24-02-08
5877,44,15,1087,24-09-09,24-09-18,"12679",1,24-09-13,16,24-09-11
5878,116,2,1231,24-07-01,24-07-06,"12933",1,24-07-03,16,24-07-03
5879,529,14,2257,23-08-27,23-09-03,"16204",1,23-08-29,8,23-08-31
5880,82,16,1163,23-11-25,23-12-03,"14620",1,23-11-28,16,23-11-27
5881,801,2,3001,24-05-25,24-06-04,"12303",1,24-05-27,16,24-05-30
5882,969,13,3169,23-07-12,23-07-22,"16893",1,23-07-17,16,23-07-17
5883,842,8,3042,23-05-26,23-06-04,"12648",1,23-05-28,16,23-05-27
5884,894,14,3094,24-03-04,24-03-09,"17440",1,24-03-07,16,24-03-05
5885,451,2,2101,24-12-01,24-12-03,"11050",1,24-12-05,16,24-12-06
5886,141,20,1281,23-04-27,23-05-05,"14055",1,23-05-01,16,23-05-02
5887,409,15,2017,24-09-17,24-09-24,"18091",1,24-09-19,16,24-09-18
5888,803,2,3003,24-01-14,24-01-19,"10588",1,24-01-17,16,24-01-18
5889,552,8,2303,24-08-26,24-09-05,"16638",1,24-08-29,8,24-08-31
5890,496,20,2191,24-03-25,24-04-01,"11967",1,24-03-27,16,24-03-27
5891,194,2,1387,24-06-22,24-07-02,"19723",1,24-06-23,8,24-06-24
5892,516,7,2231,24-10-24,24-10-30,"14259",1,24-10-26,16,24-10-26
5893,838,14,3038,24-10-07,24-10-08,"19529",1,24-10-11,16,24-10-10
5894,546,15,2291,24-01-13,24-01-16,"15369",1,24-01-15,16,24-01-16
5895,935,20,3135,24-04-13,24-04-20,"13053",1,24-04-15,16,24-04-17
5896,874,14,3074,23-09-24,23-09-28,"17269",1,23-09-27,16,23-09-25
5897,852,16,3052,24-09-23,24-10-01,"14810",1,24-09-27,16,24-09-25
5898,143,7,1285,23-01-25,23-01-30,"19047",1,23-01-26,4,23-01-29
5899,997,2,3197,23-04-11,23-04-19,"11720",1,23-04-13,5,23-04-12
5900,529,14,2257,23-10-31,23-11-10,"16204",1,,8,23-11-03
5901,552,8,2303,24-06-24,24-07-02,"16638",1,24-06-25,12,24-06-28
5902,194,2,1387,23-01-27,23-02-02,"19723",1,23-01-30,6,23-01-29
5903,542,3,2283,23-12-09,23-12-16,"13961",1,23-12-12,6,23-12-13
5904,79,16,1157,24-12-17,24-12-26,"14065",1,24-12-20,6,24-12-18
5905,554,14,2307,24-03-15,24-03-24,"14485",1,24-03-20,6,24-03-18
5906,915,15,3115,24-11-17,24-11-19,"15267",1,24-11-20,15,24-11-22
5907,101,15,1201,23-01-16,23-01-25,"16392",1,23-01-21,6,23-01-20
5908,929,7,3129,24-11-12,24-11-14,"13713",1,24-11-15,6,24-11-14
5909,583,13,2365,23-09-15,23-09-22,"11846",1,23-09-19,15,23-09-19
5910,135,3,1269,24-12-17,24-12-27,"11758",1,24-12-21,6,24-12-20
5911,553,8,2305,23-12-16,23-12-20,"12225",1,23-12-18,6,23-12-17
5912,564,15,2327,24-10-31,24-11-02,"12506",1,24-11-01,15,24-11-02
5913,496,3,2191,24-11-30,24-12-08,"13984",1,24-12-04,6,24-12-01
5914,893,20,3093,24-01-11,24-01-15,"14150",1,24-01-13,6,24-01-15
5915,888,14,3088,24-02-01,24-02-11,"13806",1,24-02-04,6,24-02-06
5916,414,3,2027,24-07-06,24-07-09,"10527",1,24-07-10,6,24-07-11
5917,925,14,3125,23-07-17,23-07-21,"11346",1,23-07-19,6,23-07-21
5918,443,6,2085,24-08-30,24-09-04,"12676",1,24-09-03,6,24-09-01
5919,414,14,2027,23-05-11,23-05-16,"18072",1,23-05-15,6,23-05-15
5920,538,16,2275,23-05-26,23-06-01,"14948",1,23-05-29,6,23-05-31
5921,21,3,1041,24-03-10,24-03-18,"10267",1,24-03-14,15,24-03-13
5922,33,13,1065,23-10-28,23-11-05,"10468",1,23-10-30,6,23-11-02
5923,817,7,3017,24-04-17,24-04-20,"10179",1,24-04-21,6,24-04-21
5924,81,3,1161,23-03-23,23-03-27,"10346",1,23-03-25,6,23-03-27
5925,575,15,2349,24-05-31,24-06-08,"17775",1,24-06-01,6,24-06-04
5926,553,6,2305,24-01-31,24-02-08,"13306",1,24-02-03,6,24-02-02
5927,415,3,2029,23-04-23,23-04-29,"17949",1,23-04-28,6,23-04-27
5928,972,8,3172,24-06-25,24-06-30,"13246",1,24-06-29,6,24-06-26
5929,544,15,2287,24-07-28,24-07-30,"10967",1,24-07-31,6,24-07-30
5930,595,6,2389,24-10-30,24-11-05,"19344",1,24-11-03,6,24-11-04
5931,179,6,1357,24-03-19,24-03-22,"10979",1,24-03-23,6,24-03-24
5932,156,15,1311,24-08-14,24-08-23,"14013",1,24-08-18,6,24-08-18
5933,27,2,1053,23-06-19,23-06-28,"15289",1,23-06-22,6,23-06-23
5934,414,16,2027,23-05-01,23-05-08,"12599",1,23-05-02,6,23-05-05
5935,915,15,3115,23-09-04,23-09-10,"15267",1,23-09-05,5,23-09-05
5936,583,13,2365,23-07-20,23-07-28,"11846",1,23-07-21,11,23-07-23
5937,564,15,2327,23-09-30,23-10-03,"12506",1,23-10-04,19,23-10-01
5938,21,3,1041,24-12-16,24-12-17,"10267",1,24-12-19,9,24-12-18
5939,55,15,1109,23-02-02,23-02-10,"11847",1,23-02-05,5,23-02-04
5940,885,7,3085,24-02-27,24-02-29,"15244",1,24-02-28,5,24-02-29
5941,27,6,1053,23-10-29,23-11-03,"19761",1,23-11-01,5,23-11-02
5942,961,15,3161,23-05-15,23-05-23,"11360",1,23-05-19,5,23-05-16
5943,943,7,3143,24-04-29,24-05-05,"16179",1,24-05-01,5,24-05-01
5944,114,13,1227,23-10-28,23-11-05,"10712",1,23-10-31,5,23-11-02
5945,897,3,3097,23-10-27,23-11-02,"13446",1,23-11-01,5,23-10-31
5946,158,20,1315,24-11-02,24-11-07,"12002",1,24-11-03,5,24-11-04
5947,958,15,3158,24-06-10,24-06-14,"14159",1,24-06-11,5,24-06-14
5948,8,15,1015,24-09-28,24-09-30,"10153",1,24-09-29,5,24-10-02
5949,571,3,2341,23-01-16,23-01-23,"16868",1,23-01-18,5,23-01-19
5950,42,2,1083,24-04-27,24-05-06,"15655",1,24-04-30,5,24-04-28
5951,186,6,1371,24-07-28,24-07-31,"10658",1,24-07-30,5,24-07-31
5952,63,13,1125,24-07-28,24-07-30,"14094",1,24-07-31,5,24-07-31
5953,180,13,1359,23-12-02,23-12-09,"14334",1,23-12-04,5,23-12-05
5954,834,20,3034,24-05-28,24-05-31,"11008",1,24-06-01,9,24-05-30
5955,106,6,1211,24-07-19,24-07-25,"19162",1,24-07-23,5,24-07-20
5956,812,13,3012,24-12-30,25-01-01,"17799",1,25-01-04,5,25-01-03
5957,941,20,3141,23-05-28,23-06-01,"16610",1,23-05-31,5,23-05-29
5958,980,7,3180,24-05-07,24-05-17,"19657",1,24-05-09,5,24-05-09
5959,847,3,3047,24-09-06,24-09-09,"12955",1,24-09-08,5,24-09-10
5960,444,7,2087,24-01-09,24-01-15,"16751",1,24-01-13,5,24-01-11
5961,585,14,2369,24-12-07,24-12-11,"14222",1,24-12-09,5,24-12-11
5962,810,6,3010,23-09-23,23-10-02,"11132",1,23-09-28,5,23-09-28
5963,189,8,1377,23-05-06,23-05-14,"16901",1,23-05-09,5,23-05-10
5964,408,14,2015,24-11-23,24-11-28,"16526",1,24-11-27,5,24-11-28
5965,152,15,1303,24-03-23,24-04-01,"15620",1,24-03-26,5,24-03-26
5966,997,6,3197,24-11-08,24-11-12,"18352",1,24-11-12,5,24-11-10
5967,958,3,3158,24-09-16,24-09-20,"11378",1,24-09-18,5,24-09-18
5968,63,6,1125,24-06-09,24-06-14,"14310",1,24-06-12,5,24-06-13
5969,511,6,2221,24-07-29,24-08-07,"14583",1,24-08-01,5,24-07-31
5970,981,13,3181,24-08-24,24-09-01,"15133",1,24-08-27,5,24-08-27
5971,865,8,3065,23-03-07,23-03-10,"11839",1,23-03-11,5,23-03-11
5972,566,6,2331,23-09-09,23-09-16,"10589",1,23-09-10,5,23-09-12
5973,997,13,3197,23-02-10,23-02-17,"10852",1,23-02-12,5,23-02-13
5974,455,14,2109,24-08-13,24-08-18,"11035",1,24-08-16,5,24-08-18
5975,537,15,2273,24-02-13,24-02-18,"15183",1,24-02-17,5,24-02-14
5976,560,13,2319,23-05-19,23-05-22,"14425",1,23-05-23,5,23-05-24
5977,108,20,1215,24-03-11,24-03-13,"10060",1,24-03-12,5,24-03-15
5978,126,7,1251,23-05-21,23-05-23,"16570",1,23-05-23,5,23-05-24
5979,818,16,3018,23-01-22,23-01-24,"15593",1,23-01-23,5,23-01-24
5980,518,7,2235,23-02-08,23-02-16,"17360",1,23-02-12,5,23-02-12
5981,470,2,2139,24-12-07,24-12-12,"16016",1,24-12-11,5,24-12-10
5982,23,7,1045,24-07-17,24-07-25,"14762",1,24-07-20,5,24-07-19
5983,126,15,1251,23-08-31,23-09-05,"18545",1,23-09-03,5,23-09-01
5984,571,16,2341,24-11-30,24-12-01,"10834",1,24-12-02,5,24-12-04
5985,499,2,2197,23-08-12,23-08-20,"17131",1,23-08-15,5,23-08-15
5986,32,8,1063,24-11-19,24-11-25,"15831",1,24-11-21,5,24-11-21
5987,973,7,3173,24-09-07,24-09-10,"13477",1,24-09-10,5,24-09-11
5988,868,16,3068,23-06-07,23-06-10,"19929",1,23-06-11,5,23-06-10
5989,530,7,2259,24-08-19,24-08-24,"12395",1,24-08-23,5,24-08-24
5990,1000,20,3200,24-12-29,24-12-31,"10174",1,25-01-01,5,25-01-03
5991,198,8,1395,24-02-17,24-02-22,"16757",1,24-02-21,5,24-02-19
5992,531,15,2261,23-06-14,23-06-21,"17001",1,23-06-17,5,23-06-16
5993,45,15,1089,24-11-28,24-12-03,"11952",1,24-12-02,5,24-12-03
5994,991,14,3191,23-10-07,23-10-17,"11392",1,23-10-12,5,23-10-12
5995,579,16,2357,24-04-04,24-04-08,"13918",1,24-04-06,5,24-04-09
5996,562,8,2323,23-01-29,23-02-02,"11579",1,23-02-02,9,23-01-30
5997,32,8,1063,24-09-25,24-09-26,"13065",1,24-09-30,9,24-09-29
5998,599,8,2397,23-04-04,23-04-11,"19438",1,23-04-08,5,23-04-09
5999,557,14,2313,23-06-19,23-06-22,"19521",1,23-06-23,5,23-06-21
6000,6,20,1011,23-06-28,23-07-04,"15828",1,23-07-01,5,23-07-02
6001,863,8,3063,24-06-22,24-06-28,"16361",1,24-06-26,5,24-06-25
6002,583,8,2365,23-04-24,23-05-01,"14491",1,23-04-26,5,23-04-27
6003,859,7,3059,24-08-17,24-08-18,"11005",1,24-08-21,5,24-08-18
6004,478,15,2155,23-10-27,23-10-29,"18558",1,23-10-28,5,23-10-29
6005,898,15,3098,24-01-28,24-02-05,"17900",1,24-01-30,5,24-01-31
6006,189,3,1377,23-09-05,23-09-06,"11934",1,23-09-07,5,23-09-07
6007,441,15,2081,24-04-30,24-05-05,"12605",1,24-05-01,5,24-05-03
6008,834,20,3034,23-12-06,23-12-11,"11008",1,23-12-09,4,23-12-08
6009,562,8,2323,24-10-10,24-10-13,"11579",1,24-10-13,4,24-10-12
6010,32,8,1063,23-01-26,23-01-29,"13065",1,,9,23-01-30
6011,123,8,1245,24-05-12,24-05-13,"11720",1,24-05-16,16,24-05-17
6012,56,6,1111,24-01-28,24-02-06,"18191",1,24-02-01,16,24-01-31
6013,20,6,1039,24-07-16,24-07-25,"17313",1,24-07-20,16,24-07-19
6014,160,20,1319,24-03-01,24-03-07,"19362",1,24-03-05,16,24-03-06
6015,55,3,1109,23-10-21,23-10-22,"10511",1,23-10-22,16,23-10-23
6016,466,6,2131,24-03-28,24-03-31,"13349",1,24-04-02,16,24-04-02
6017,919,15,3119,24-05-27,24-05-30,"19712",1,24-05-30,16,24-05-29
6018,452,15,2103,23-11-22,23-11-26,"15931",1,23-11-25,16,23-11-23
6019,520,8,2239,24-03-20,24-03-27,"19027",1,24-03-22,16,24-03-25
6020,832,20,3032,23-04-30,23-05-08,"17238",1,23-05-03,16,23-05-05
6021,915,16,3115,24-03-21,24-03-24,"12964",1,24-03-24,16,24-03-23
6022,516,3,2231,23-01-17,23-01-18,"18984",1,23-01-20,16,23-01-21
6023,99,2,1197,24-10-20,24-10-24,"10206",1,24-10-25,16,24-10-25
6024,935,16,3135,23-05-15,23-05-17,"14836",1,23-05-17,16,23-05-17
6025,846,20,3046,23-08-28,23-09-02,"16802",1,23-08-30,16,23-09-02
6026,77,7,1153,23-06-12,23-06-16,"15488",1,23-06-14,16,23-06-14
6027,972,15,3172,24-04-06,24-04-15,"18702",1,24-04-09,16,24-04-10
6028,597,13,2393,23-07-11,23-07-13,"10673",1,23-07-15,16,23-07-12
6029,933,15,3133,23-08-08,23-08-16,"19418",1,23-08-11,16,23-08-12
6030,87,15,1173,23-05-21,23-05-27,"18593",1,23-05-24,16,23-05-24
6031,992,8,3192,24-01-22,24-01-26,"12413",1,24-01-23,16,24-01-25
6032,968,3,3168,24-02-12,24-02-13,"17668",1,24-02-15,16,24-02-16
6033,421,7,2041,23-04-17,23-04-21,"11647",1,23-04-21,16,23-04-19
6034,128,15,1255,23-02-26,23-03-07,"11538",1,23-02-28,16,23-02-28
6035,988,7,3188,23-05-12,23-05-14,"19607",1,23-05-17,16,23-05-14
6036,79,3,1157,23-05-14,23-05-20,"12939",1,23-05-18,16,23-05-16
6037,967,6,3167,24-12-18,24-12-21,"17452",1,24-12-21,16,24-12-20
6038,510,6,2219,24-05-27,24-06-06,"19839",1,24-06-01,16,24-06-01
6039,483,3,2165,24-08-11,24-08-14,"13532",1,24-08-14,16,24-08-15
6040,429,14,2057,23-12-01,23-12-10,"16916",1,23-12-03,16,23-12-05
6041,446,20,2091,23-06-10,23-06-14,"17289",1,23-06-11,16,23-06-12
6042,833,14,3033,23-02-20,23-02-24,"14697",1,23-02-22,16,23-02-23
6043,885,13,3085,24-08-15,24-08-20,"18579",1,24-08-20,16,24-08-18
6044,549,3,2297,23-02-27,23-03-04,"13571",1,23-03-04,16,23-03-02
6045,46,20,1091,24-03-12,24-03-18,"17794",1,24-03-13,16,24-03-14
6046,843,20,3043,23-02-26,23-03-04,"12114",1,23-03-02,16,23-03-03
6047,894,16,3094,24-03-12,24-03-17,"16923",1,24-03-14,16,24-03-15
6048,180,16,1359,24-09-08,24-09-15,"18481",1,24-09-10,16,24-09-11
6049,80,15,1159,23-10-13,23-10-15,"18320",1,23-10-17,16,23-10-15
6050,61,16,1121,24-08-20,24-08-22,"15696",1,24-08-24,16,24-08-25
6051,77,7,1153,24-04-18,24-04-23,"15488",1,24-04-22,10,24-04-22
6052,87,15,1173,23-09-17,23-09-25,"18593",1,23-09-19,7,23-09-20
6053,483,3,2165,24-07-19,24-07-26,"13532",1,24-07-20,16,24-07-22
6054,429,14,2057,23-10-19,23-10-21,"16916",1,,16,23-10-23
6055,885,13,3085,24-08-19,24-08-27,"18579",1,24-08-22,10,24-08-24
6056,180,16,1359,24-10-29,24-11-08,"18481",1,24-10-31,10,24-11-03
6057,973,8,3173,23-05-29,23-06-03,"17715",1,23-06-01,16,23-06-01
6058,71,2,1141,24-10-17,24-10-22,"12025",1,24-10-20,16,24-10-19
6059,189,6,1377,23-06-30,23-07-09,"15484",1,23-07-04,16,23-07-01
6060,560,6,2319,23-11-13,23-11-16,"13234",1,23-11-14,16,23-11-15
6061,825,2,3025,23-09-30,23-10-02,"18523",1,23-10-01,16,23-10-01
6062,965,16,3165,23-06-28,23-07-06,"18969",1,23-07-02,16,23-06-30
6063,908,13,3108,23-05-04,23-05-08,"19879",1,23-05-07,16,23-05-05
6064,157,14,1313,24-07-04,24-07-08,"18836",1,24-07-07,16,24-07-09
6065,456,3,2111,23-04-12,23-04-22,"14633",1,23-04-15,16,23-04-16
6066,530,2,2259,24-07-04,24-07-08,"10420",1,24-07-08,16,24-07-08
6067,25,20,1049,24-04-28,24-05-02,"14684",1,24-04-29,16,24-05-03
6068,571,8,2341,24-05-10,24-05-14,"17815",1,24-05-12,8,24-05-12
6069,990,15,3190,24-10-07,24-10-12,"10647",1,24-10-11,8,24-10-08
6070,148,3,1295,24-05-25,24-05-26,"15058",1,24-05-26,8,24-05-27
6071,857,13,3057,24-10-07,24-10-08,"15568",1,24-10-11,16,24-10-10
6072,816,7,3016,24-06-01,24-06-03,"18700",1,24-06-04,16,24-06-04
6073,38,20,1075,24-08-22,24-08-25,"15260",1,24-08-26,16,24-08-24
6074,926,13,3126,24-02-20,24-02-28,"14838",1,24-02-21,16,24-02-21
6075,805,8,3005,23-12-19,23-12-23,"18404",1,23-12-20,16,23-12-24
6076,402,20,2003,23-01-27,23-02-04,"16443",1,23-01-30,16,23-01-28
6077,193,6,1385,24-10-18,24-10-23,"11346",1,24-10-21,16,24-10-21
6078,403,14,2005,23-09-01,23-09-08,"17615",1,23-09-04,16,23-09-03
6079,7,2,1013,24-12-16,24-12-19,"19484",1,24-12-19,16,24-12-19
6080,840,3,3040,23-09-11,23-09-21,"10095",1,23-09-12,16,23-09-14
6081,153,2,1305,24-01-12,24-01-20,"10469",1,24-01-13,16,24-01-14
6082,47,8,1093,23-03-22,23-03-23,"19275",1,23-03-24,16,23-03-24
6083,483,15,2165,24-08-02,24-08-12,"10566",1,24-08-03,16,24-08-06
6084,423,20,2045,24-09-17,24-09-23,"19944",1,24-09-20,16,24-09-21
6085,499,6,2197,23-12-23,23-12-25,"19522",1,23-12-25,16,23-12-25
6086,954,15,3154,24-06-12,24-06-19,"14252",1,24-06-14,16,24-06-16
6087,188,2,1375,23-08-19,23-08-20,"17573",1,23-08-23,16,23-08-24
6088,115,3,1229,24-08-18,24-08-19,"12080",1,24-08-21,16,24-08-23
6089,938,13,3138,23-03-07,23-03-10,"13049",1,23-03-09,16,23-03-09
6090,512,6,2223,24-11-05,24-11-12,"19310",1,24-11-08,16,24-11-09
6091,454,3,2107,23-11-10,23-11-14,"19714",1,23-11-11,16,23-11-11
6092,816,8,3016,23-05-05,23-05-13,"15635",1,23-05-09,16,23-05-08
6724,841,2,3041,23-08-07,23-08-12,"15028",1,23-08-10,17,23-08-09
6725,852,13,3052,24-04-19,24-04-24,"11567",1,24-04-21,17,24-04-24
6726,890,8,3090,24-09-16,24-09-24,"12587",1,24-09-18,17,24-09-21
6727,525,13,2249,23-04-09,23-04-17,"15453",1,23-04-12,10,23-04-14
6728,508,20,2215,23-05-16,23-05-19,"11503",1,23-05-20,17,23-05-20
6729,445,13,2089,23-04-12,23-04-21,"17728",1,23-04-15,17,23-04-17
6730,453,14,2105,24-01-24,24-01-28,"17252",1,24-01-26,10,24-01-29
6731,827,3,3027,23-12-06,23-12-09,"10187",1,23-12-08,17,23-12-10
6732,817,14,3017,23-12-24,23-12-27,"14653",1,23-12-29,17,23-12-27
6733,578,20,2355,23-12-26,24-01-03,"17477",1,23-12-30,17,23-12-31
6734,938,6,3138,23-01-07,23-01-11,"14386",1,23-01-08,17,23-01-08
6735,992,7,3192,23-10-03,23-10-11,"16317",1,23-10-06,17,23-10-06
6736,193,20,1385,24-04-29,24-04-30,"18556",1,24-05-03,17,24-05-01
6737,478,14,2155,24-04-09,24-04-12,"12836",1,24-04-11,17,24-04-13
6738,598,7,2395,24-06-16,24-06-23,"10533",1,24-06-21,17,24-06-17
6739,900,2,3100,24-04-30,24-05-06,"11134",1,24-05-03,17,24-05-02
6740,879,8,3079,24-12-09,24-12-11,"12196",1,24-12-11,17,24-12-12
6741,180,3,1359,24-02-05,24-02-08,"13230",1,24-02-09,17,24-02-07
6742,829,8,3029,24-03-05,24-03-15,"10132",1,24-03-10,17,24-03-08
6743,493,6,2185,24-04-02,24-04-03,"19850",1,24-04-05,17,24-04-04
6744,135,6,1269,23-09-21,23-09-24,"17976",1,23-09-23,17,23-09-22
6745,596,16,2391,24-01-02,24-01-09,"19406",1,24-01-04,17,24-01-04
6746,420,14,2039,24-10-21,24-10-30,"15977",1,24-10-24,17,24-10-23
6747,855,20,3055,23-09-22,23-09-26,"19695",1,23-09-25,10,23-09-27
6748,26,20,1051,23-12-22,23-12-27,"16150",1,23-12-25,17,23-12-26
6749,943,3,3143,24-12-14,24-12-19,"17140",1,24-12-18,17,24-12-16
6750,27,16,1053,23-01-16,23-01-24,"19248",1,23-01-20,17,23-01-18
6751,469,2,2137,23-09-06,23-09-15,"16172",1,23-09-07,17,23-09-07
6752,587,8,2373,24-11-25,24-11-27,"16175",1,24-11-26,17,24-11-26
6753,831,2,3031,23-06-08,23-06-17,"13380",1,23-06-12,10,23-06-13
6754,818,15,3018,23-03-17,23-03-27,"16178",1,23-03-21,17,23-03-22
6755,983,7,3183,23-12-09,23-12-11,"19683",1,23-12-11,17,23-12-10
6756,92,2,1183,23-10-30,23-11-05,"11930",1,23-11-02,17,23-11-03
6757,1010,2,3210,23-12-04,23-12-08,"14055",1,23-12-07,17,23-12-06
6758,958,14,3158,23-01-15,23-01-17,"16638",1,23-01-18,17,23-01-20
6759,48,14,1095,24-02-27,24-03-03,"10854",1,24-02-29,17,24-03-03
6760,93,6,1185,23-03-30,23-04-08,"18416",1,23-04-02,17,23-04-03
6761,43,7,1085,23-05-04,23-05-13,"13520",1,23-05-09,10,23-05-08
6762,852,15,3052,23-11-14,23-11-19,"19782",1,23-11-18,17,23-11-17
6763,593,15,2385,24-01-20,24-01-29,"10144",1,24-01-22,17,24-01-22
6764,807,6,3007,23-09-05,23-09-09,"10921",1,23-09-10,17,23-09-09
6765,991,20,3191,23-07-09,23-07-14,"13697",1,23-07-12,14,23-07-14
6766,56,2,1111,23-05-27,23-06-02,"16286",1,23-05-28,5,23-05-31
6767,32,6,1063,23-09-27,23-10-06,"11847",1,23-10-01,13,23-09-29
6768,481,20,2161,24-07-16,24-07-18,"10536",1,24-07-19,2,24-07-20
6769,468,8,2135,24-12-11,24-12-13,"13465",1,24-12-15,13,24-12-16
6770,525,13,2249,24-12-30,25-01-02,"15453",1,24-12-31,19,25-01-04
6771,453,14,2105,23-08-22,23-08-30,"17252",1,23-08-27,5,23-08-25
6772,855,20,3055,23-08-09,23-08-12,"19695",1,23-08-12,2,23-08-13
6773,831,2,3031,24-11-24,24-12-02,"13380",1,24-11-29,12,24-11-27
6774,43,7,1085,23-10-04,23-10-08,"13520",1,23-10-06,16,23-10-07
6775,493,14,2185,24-06-14,24-06-21,"16760",1,24-06-19,13,24-06-16
6776,496,3,2191,24-03-01,24-03-05,"19745",1,24-03-02,13,24-03-04
6777,433,16,2065,23-01-03,23-01-13,"13292",1,23-01-06,13,23-01-06
6778,922,2,3122,24-02-07,24-02-16,"17141",1,24-02-11,13,24-02-10
6779,923,16,3123,23-07-02,23-07-06,"18617",1,23-07-04,2,23-07-05
6780,56,3,1111,24-08-14,24-08-21,"14148",1,24-08-18,13,24-08-16
6781,432,13,2063,24-04-22,24-04-27,"12635",1,24-04-25,13,24-04-23
6782,595,20,2389,23-11-20,23-11-29,"15066",1,23-11-22,13,23-11-24
6783,112,6,1223,24-03-15,24-03-21,"11819",1,24-03-17,13,24-03-19
6784,182,3,1363,24-03-22,24-03-24,"11396",1,24-03-25,13,24-03-24
6785,3,7,1005,24-07-14,24-07-16,"18326",1,24-07-18,13,24-07-19
6786,507,14,2213,23-04-18,23-04-23,"11264",1,23-04-21,13,23-04-20
6787,966,15,3166,23-02-20,23-02-23,"13987",1,23-02-25,13,23-02-22
6788,1008,7,3208,24-12-20,24-12-21,"18790",1,24-12-24,13,24-12-22
6789,947,16,3147,23-04-06,23-04-11,"17327",1,23-04-09,13,23-04-08
6790,532,2,2263,23-05-27,23-05-30,"13304",1,23-05-29,2,23-05-30
6791,454,14,2107,23-12-14,23-12-18,"18257",1,23-12-18,13,23-12-15
6792,182,2,1363,23-02-08,23-02-12,"12097",1,23-02-13,13,23-02-09
6793,464,20,2127,23-10-13,23-10-14,"17183",1,23-10-16,13,23-10-18
6794,925,8,3125,23-03-05,23-03-07,"16585",1,23-03-08,13,23-03-09
6795,142,7,1283,24-06-01,24-06-05,"19338",1,24-06-03,13,24-06-03
6796,837,7,3037,24-10-05,24-10-07,"15537",1,24-10-07,2,24-10-09
6797,897,2,3097,24-09-09,24-09-14,"16692",1,24-09-13,13,24-09-14
6798,1006,3,3206,23-10-20,23-10-27,"10395",1,23-10-24,13,23-10-21
6799,38,6,1075,23-11-20,23-11-26,"11219",1,23-11-21,13,23-11-21
6800,152,20,1303,24-06-05,24-06-08,"18494",1,24-06-06,13,24-06-07
6093,882,8,3082,23-05-15,23-05-18,"19267",1,23-05-17,16,23-05-16
6094,991,16,3191,23-02-17,23-02-22,"13202",1,23-02-19,16,23-02-22
6095,113,15,1225,24-06-23,24-06-30,"11523",1,24-06-25,16,24-06-24
6096,57,20,1113,23-08-09,23-08-13,"11923",1,23-08-11,16,23-08-11
6097,128,16,1255,24-07-01,24-07-07,"18579",1,24-07-06,16,24-07-04
6098,132,13,1263,24-12-07,24-12-16,"18628",1,24-12-09,16,24-12-12
