"ORDERLINEID","ORDERID","ITEMID","DESCRIPTION","QUANTITY","UNITPRICE","TAXRATE","PICKEDQUANTITY","PICKINGCOMPLETEDWHEN"
1196,448,162,"32 mm Double sided bubble wrap 10m",50,22,15,50,23-12-12
1197,448,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",72,18,15,72,23-12-12
1198,448,197,"Black and orange this way up despatch tape 48mmx75m",96,3.7,15,96,23-12-12
1199,449,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",120,18,15,120,24-11-25
1200,449,120,"Dinosaur battery-powered slippers (Green) L",5,32,15,5,24-11-25
1201,449,118,"Dinosaur battery-powered slippers (Green) S",9,32,15,9,24-11-25
1202,450,219,"Void fill 400 L bag (White) 400L",20,50,15,20,24-07-28
1203,450,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",12,18,15,12,24-07-28
1204,451,17,"DBA joke mug - mind if I join you? (Black)",4,13,15,4,24-05-22
1205,451,109,"Superhero action jacket (Blue) XS",2,25,15,2,24-05-22
1206,451,202,"Red and white urgent  heavy despatch tape  48mmx100m",72,4.1,15,72,24-05-22
1207,451,154,"Medium sized bubblewrap roll 20m",60,20,15,60,24-05-22
1208,452,22,"DBA joke mug - it depends (White)",2,13,15,2,23-06-09
1209,452,199,"Black and yellow heavy despatch tape  48mmx75m",144,3.7,15,144,23-06-09
1210,452,59,"RC toy sedan car with remote control (Red) 1/50 scale",6,25,15,6,23-06-09
1211,452,101,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",36,18,15,36,23-06-09
1212,452,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",96,18,15,96,23-06-09
1213,453,111,"Superhero action jacket (Blue) M",8,30,15,8,23-02-15
1214,453,114,"Superhero action jacket (Blue) XXL",4,30,15,4,23-02-15
1215,454,68,"Ride on toy sedan car (Red) 1/12 scale",4,230,15,4,24-01-12
1216,454,33,"Developer joke mug - that's a hardware problem (Black)",3,13,15,3,24-01-12
1217,454,168,"20 mm Anti static bubble wrap (Blue) 10m",40,29,15,40,24-01-12
1218,454,65,"RC vintage American toy coupe with remote control (Black) 1/50 scale",9,30,15,9,24-01-12
1219,454,186,"Shipping carton (Brown) 457x457x457mm",175,2.1,15,175,24-01-12
1220,455,186,"Shipping carton (Brown) 457x457x457mm",225,2.1,15,225,24-07-15
1221,455,68,"Ride on toy sedan car (Red) 1/12 scale",2,230,15,2,24-07-15
1222,456,44,"Developer joke mug - there are 10 types of people in the world (White)",8,13,15,8,23-03-12
1223,456,108,"Superhero action jacket (Blue) XXS",3,25,15,3,23-03-12
1224,456,124,"Ogre battery-powered slippers (Green) L",2,32,15,2,23-03-12
1225,457,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",120,18,15,120,24-03-21
1226,457,106,"Alien officer hoodie (Black) 5XL",10,35,15,10,24-03-21
1227,457,65,"RC vintage American toy coupe with remote control (Black) 1/50 scale",4,30,15,4,24-03-21
1228,457,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",84,18,15,84,24-03-21
1229,457,115,"Superhero action jacket (Blue) 3XL",10,34,15,10,24-03-21
1230,459,139,"Furry animal socks (Pink) M",60,5,15,60,23-02-13
1231,459,36,"Developer joke mug - when your hammer is C++ (White)",7,13,15,7,23-02-13
1232,459,72,"Ride on toy sedan car (Pink) 1/12 scale",3,230,15,3,23-02-13
1233,460,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",60,18,15,60,23-05-10
1234,460,28,"DBA joke mug - two types of DBAs (White)",5,13,15,5,23-05-10
1235,460,103,"Alien officer hoodie (Black) XXL",2,35,15,2,23-05-10
1236,460,126,"Plush shark slippers (Gray) S",1,32,15,1,23-05-10
1237,461,133,"Furry gorilla with big eyes slippers (Black) XL",3,32,15,3,24-12-06
1238,461,61,"RC toy sedan car with remote control (Green) 1/50 scale",1,25,15,1,24-12-06
1239,461,126,"Plush shark slippers (Gray) S",4,32,15,4,24-12-06
1240,461,78,"""The Gu"" red shirt XML tag t-shirt (White) XS",36,18,15,36,24-12-06
1241,461,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",36,18,15,36,24-12-06
1242,462,120,"Dinosaur battery-powered slippers (Green) L",3,32,15,3,24-03-14
1243,462,79,"""The Gu"" red shirt XML tag t-shirt (White) S",96,18,15,96,24-03-14
1244,462,140,"Furry animal socks (Pink) L",96,5,15,96,24-03-14
1245,462,59,"RC toy sedan car with remote control (Red) 1/50 scale",3,25,15,3,24-03-14
1246,462,68,"Ride on toy sedan car (Red) 1/12 scale",1,230,15,1,24-03-14
1247,463,64,"RC vintage American toy coupe with remote control (Red) 1/50 scale",1,30,15,1,24-12-29
1248,463,10,"USB food flash drive - chocolate bar",8,32,15,8,24-12-29
1249,463,16,"DBA joke mug - mind if I join you? (White)",10,13,15,10,24-12-29
1250,463,57,"IT joke mug - hardware: part of the computer that can be kicked (Black)",3,13,15,3,24-12-29
1251,464,57,"IT joke mug - hardware: part of the computer that can be kicked (Black)",2,13,15,2,24-07-31
1252,464,195,"Black and orange handle with care despatch tape  48mmx75m",72,3.7,15,72,24-07-31
1253,464,18,"DBA joke mug - daaaaaa-ta (White)",1,13,15,1,24-07-31
1254,464,151,"Pack of 12 action figures (male)",5,16,15,5,24-07-31
1255,465,212,"Large  replacement blades 18mm",70,4.3,15,70,23-06-02
1256,465,8,"USB food flash drive - dim sum 10 drive variety pack",4,240,15,4,23-06-02
1257,465,35,"Developer joke mug - fun was unexpected at this time (Black)",4,13,15,4,23-06-02
862,348,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",84,18,15,84,23-03-19
863,348,117,"Superhero action jacket (Blue) 5XL",3,34,15,3,23-03-19
864,348,135,"Animal with big feet slippers (Brown) M",2,32,15,2,23-03-19
865,348,35,"Developer joke mug - fun was unexpected at this time (Black)",6,13,15,6,23-03-19
866,348,138,"Furry animal socks (Pink) S",96,5,15,96,23-03-19
867,349,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",96,18,15,96,23-01-14
868,349,81,"""The Gu"" red shirt XML tag t-shirt (White) L",60,18,15,60,23-01-14
869,349,58,"RC toy sedan car with remote control (Black) 1/50 scale",10,25,15,10,23-01-14
870,349,118,"Dinosaur battery-powered slippers (Green) S",2,32,15,2,23-01-14
871,350,156,"10 mm Double sided bubble wrap 10m",40,15,15,40,24-02-04
872,350,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",12,18,15,12,24-02-04
873,350,199,"Black and yellow heavy despatch tape  48mmx75m",48,3.7,15,48,24-02-04
874,350,154,"Medium sized bubblewrap roll 20m",30,20,15,30,24-02-04
875,350,196,"Black and orange handle with care despatch tape  48mmx100m",240,4.1,15,240,24-02-04
876,351,197,"Black and orange this way up despatch tape 48mmx75m",48,3.7,15,48,24-05-21
877,351,24,"DBA joke mug - I will get you in order (White)",1,13,15,1,24-05-21
878,351,210,"Packing knife with metal insert blade (Yellow) 18mm",45,2.4,15,45,24-05-21
879,351,36,"Developer joke mug - when your hammer is C++ (White)",9,13,15,9,24-05-21
880,352,64,"RC vintage American toy coupe with remote control (Red) 1/50 scale",2,30,15,2,23-08-26
881,352,29,"DBA joke mug - two types of DBAs (Black)",9,13,15,9,23-08-26
882,352,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",12,18,15,12,23-08-26
883,353,19,"DBA joke mug - daaaaaa-ta (Black)",7,13,15,7,24-08-26
884,353,149,"Halloween skull mask (Gray) XL",96,18,15,96,24-08-26
885,354,209,"Packing knife with metal insert blade (Yellow) 9mm",5,1.89,15,5,24-03-06
886,354,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",120,18,15,120,24-03-06
887,354,61,"RC toy sedan car with remote control (Green) 1/50 scale",3,25,15,3,24-03-06
888,355,24,"DBA joke mug - I will get you in order (White)",8,13,15,8,24-09-15
889,355,119,"Dinosaur battery-powered slippers (Green) M",6,32,15,6,24-09-15
890,355,196,"Black and orange handle with care despatch tape  48mmx100m",144,4.1,15,144,24-09-15
891,355,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",108,18,15,108,24-09-15
892,355,151,"Pack of 12 action figures (male)",5,16,15,5,24-09-15
893,356,28,"DBA joke mug - two types of DBAs (White)",8,13,15,8,23-04-14
894,356,205,"Tape dispenser (Blue)",60,32,15,60,23-04-14
895,356,116,"Superhero action jacket (Blue) 4XL",10,34,15,10,23-04-14
896,357,38,"Developer joke mug - inheritance is the OO way to become wealthy (White)",3,13,15,3,24-04-28
897,357,189,"Clear packaging tape 48mmx75m",156,2.9,15,156,24-04-28
898,358,75,"Ride on big wheel monster truck (Black) 1/12 scale",3,345,15,3,24-10-18
899,358,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",84,18,15,84,24-10-18
900,358,52,"IT joke mug - keyboard not found … press F1 to continue (White)",6,13,15,6,24-10-18
901,358,209,"Packing knife with metal insert blade (Yellow) 9mm",45,1.89,15,45,24-10-18
902,358,171,"32 mm Anti static bubble wrap (Blue) 10m",80,32,15,80,24-10-18
903,359,80,"""The Gu"" red shirt XML tag t-shirt (White) M",60,18,15,60,23-12-25
904,359,70,"Ride on toy sedan car (Green) 1/12 scale",10,230,15,10,23-12-25
905,359,203,"Tape dispenser (Black)",100,32,15,100,23-12-25
906,360,27,"DBA joke mug - SELECT caffeine FROM mug (Black)",1,13,15,1,24-07-20
907,360,53,"IT joke mug - keyboard not found … press F1 to continue (Black)",5,13,15,5,24-07-20
908,361,105,"Alien officer hoodie (Black) 4XL",10,35,15,10,23-05-15
909,361,156,"10 mm Double sided bubble wrap 10m",40,15,15,40,23-05-15
910,423,140,"Furry animal socks (Pink) L",48,5,15,48,24-05-22
911,361,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",72,18,15,72,23-05-15
912,361,48,"Developer joke mug - this code was generated by a tool (White)",9,13,15,9,23-05-15
913,362,52,"IT joke mug - keyboard not found … press F1 to continue (White)",3,13,15,3,24-12-25
914,362,170,"20 mm Anti static bubble wrap (Blue) 50m",80,102,15,80,24-12-25
915,362,150,"Pack of 12 action figures (variety)",1,16,15,1,24-12-25
916,362,40,"Developer joke mug - (hip, hip, array) (White)",5,13,15,5,24-12-25
917,363,114,"Superhero action jacket (Blue) XXL",7,30,15,7,23-09-11
918,363,181,"Shipping carton (Brown) 356x229x229mm",250,1.14,15,250,23-09-11
919,363,206,"Permanent marker black 5mm nib (Black) 5mm",96,2.7,15,96,23-09-11
920,363,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",48,18,15,48,23-09-11
921,364,167,"10 mm Anti static bubble wrap (Blue) 50m",40,99,15,40,24-06-29
922,420,140,"Furry animal socks (Pink) L",84,5,15,84,23-05-14
923,364,72,"Ride on toy sedan car (Pink) 1/12 scale",9,230,15,9,24-06-29
924,364,101,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",48,18,15,48,24-06-29
925,364,5,"USB food flash drive - hamburger",2,32,15,2,24-06-29
926,365,152,"Pack of 12 action figures (female)",3,16,15,3,24-12-04
927,365,23,"DBA joke mug - it depends (Black)",3,13,15,3,24-12-04
928,365,129,"Plush shark slippers (Gray) XL",1,32,15,1,24-12-04
929,365,194,"Black and orange glass with care despatch tape  48mmx100m",96,4.1,15,96,24-12-04
930,419,12,"USB food flash drive - donut",7,32,15,7,24-03-20
931,366,34,"Developer joke mug - fun was unexpected at this time (White)",9,13,15,9,23-02-28
932,366,213,"Air cushion film 200mmx100mm 325m",5,87,15,5,23-02-28
933,366,58,"RC toy sedan car with remote control (Black) 1/50 scale",10,25,15,10,23-02-28
934,366,65,"RC vintage American toy coupe with remote control (Black) 1/50 scale",9,30,15,9,23-02-28
935,367,40,"Developer joke mug - (hip, hip, array) (White)",2,13,15,2,23-10-16
936,367,208,"Permanent marker red 5mm nib (Red) 5mm",12,2.7,15,12,23-10-16
937,368,13,"USB food flash drive - shrimp cocktail",4,32,15,4,24-01-14
938,368,115,"Superhero action jacket (Blue) 3XL",5,34,15,5,24-01-14
939,368,110,"Superhero action jacket (Blue) S",1,25,15,1,24-01-14
940,369,159,"20 mm Double sided bubble wrap 10m",30,18,15,30,24-07-15
941,369,6,"USB food flash drive - hot dog",1,32,15,1,24-07-15
942,369,181,"Shipping carton (Brown) 356x229x229mm",100,1.14,15,100,24-07-15
943,369,75,"Ride on big wheel monster truck (Black) 1/12 scale",4,345,15,4,24-07-15
944,370,194,"Black and orange glass with care despatch tape  48mmx100m",72,4.1,15,72,23-09-05
945,370,110,"Superhero action jacket (Blue) S",3,25,15,3,23-09-05
946,370,163,"32 mm Double sided bubble wrap 20m",100,37,15,100,23-09-05
947,370,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",96,18,15,96,23-09-05
948,370,19,"DBA joke mug - daaaaaa-ta (Black)",8,13,15,8,23-09-05
949,371,38,"Developer joke mug - inheritance is the OO way to become wealthy (White)",4,13,15,4,23-12-27
950,371,200,"Black and yellow heavy despatch tape 48mmx100m",24,4.1,15,24,23-12-27
951,372,83,"""The Gu"" red shirt XML tag t-shirt (White) XXL",96,18,15,96,23-12-09
952,372,117,"Superhero action jacket (Blue) 5XL",7,34,15,7,23-12-09
953,373,30,"Developer joke mug - Oct 31 = Dec 25 (White)",10,13,15,10,24-10-11
954,373,36,"Developer joke mug - when your hammer is C++ (White)",1,13,15,1,24-10-11
955,425,204,"Tape dispenser (Red)",80,32,15,80,24-01-27
956,373,13,"USB food flash drive - shrimp cocktail",1,32,15,1,24-10-11
957,374,176,"Bubblewrap dispenser (Red) 1.5m",2,240,15,2,23-01-23
958,374,169,"20 mm Anti static bubble wrap (Blue) 20m",20,45,15,20,23-01-23
959,374,58,"RC toy sedan car with remote control (Black) 1/50 scale",2,25,15,2,23-01-23
960,374,198,"Black and orange this way up despatch tape  48mmx100m",72,4.1,15,72,23-01-23
961,375,45,"Developer joke mug - there are 10 types of people in the world (Black)",8,13,15,8,24-08-20
962,375,128,"Plush shark slippers (Gray) L",5,32,15,5,24-08-20
963,375,184,"Shipping carton (Brown) 305x305x305mm",175,3.5,15,175,24-08-20
964,376,163,"32 mm Double sided bubble wrap 20m",40,37,15,40,24-05-29
965,376,183,"Shipping carton (Brown) 480x270x320mm",150,2.74,15,150,24-05-29
966,376,124,"Ogre battery-powered slippers (Green) L",2,32,15,2,24-05-29
967,377,155,"Large sized bubblewrap roll 50m",40,24,15,40,23-08-06
968,377,58,"RC toy sedan car with remote control (Black) 1/50 scale",9,25,15,9,23-08-06
969,377,47,"Developer joke mug - a foo walks into a bar (Black)",4,13,15,4,23-08-06
970,378,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",24,18,15,24,23-11-20
971,378,35,"Developer joke mug - fun was unexpected at this time (Black)",1,13,15,1,23-11-20
972,378,161,"20 mm Double sided bubble wrap 50m",50,108,15,50,23-11-20
973,379,35,"Developer joke mug - fun was unexpected at this time (Black)",7,13,15,7,24-09-25
1488,532,131,"Furry gorilla with big eyes slippers (Black) M",2,32,15,2,24-05-03
1489,532,104,"Alien officer hoodie (Black) 3XL",4,35,15,4,24-05-03
1490,533,165,"10 mm Anti static bubble wrap (Blue) 10m",40,26,15,40,24-09-01
1491,533,123,"Ogre battery-powered slippers (Green) M",4,32,15,4,24-09-01
1492,533,86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",108,18,15,108,24-09-01
1493,533,166,"10 mm Anti static bubble wrap (Blue) 20m",20,42,15,20,24-09-01
1494,533,136,"Animal with big feet slippers (Brown) L",5,32,15,5,24-09-01
1495,534,108,"Superhero action jacket (Blue) XXS",4,25,15,4,23-07-15
1496,534,115,"Superhero action jacket (Blue) 3XL",4,34,15,4,23-07-15
1497,535,45,"Developer joke mug - there are 10 types of people in the world (Black)",5,13,15,5,23-01-15
1498,535,67,"Ride on toy sedan car (Black) 1/12 scale",1,230,15,1,23-01-15
1499,535,56,"IT joke mug - hardware: part of the computer that can be kicked (White)",7,13,15,7,23-01-15
1500,536,66,"RC big wheel monster truck with remote control (Black) 1/50 scale",8,45,15,8,23-09-18
1501,536,68,"Ride on toy sedan car (Red) 1/12 scale",5,230,15,5,23-09-18
1502,536,22,"DBA joke mug - it depends (White)",3,13,15,3,23-09-18
1503,536,200,"Black and yellow heavy despatch tape 48mmx100m",96,4.1,15,96,23-09-18
1504,536,175,"Bubblewrap dispenser (Blue) 1.5m",8,240,15,8,23-09-18
1505,537,114,"Superhero action jacket (Blue) XXL",5,30,15,5,24-09-26
1506,537,133,"Furry gorilla with big eyes slippers (Black) XL",3,32,15,3,24-09-26
1507,537,196,"Black and orange handle with care despatch tape  48mmx100m",168,4.1,15,168,24-09-26
1508,538,217,"Void fill 200 L bag (White) 200L",70,25,15,70,23-06-27
1509,538,159,"20 mm Double sided bubble wrap 10m",30,18,15,30,23-06-27
1510,539,202,"Red and white urgent  heavy despatch tape  48mmx100m",120,4.1,15,120,24-12-09
1511,539,64,"RC vintage American toy coupe with remote control (Red) 1/50 scale",7,30,15,7,24-12-09
1512,539,11,"USB food flash drive - cookie",4,32,15,4,24-12-09
1513,540,197,"Black and orange this way up despatch tape 48mmx75m",192,3.7,15,192,23-02-19
1514,540,52,"IT joke mug - keyboard not found … press F1 to continue (White)",5,13,15,5,23-02-19
1515,541,52,"IT joke mug - keyboard not found … press F1 to continue (White)",2,13,15,2,23-11-17
1516,541,207,"Permanent marker blue 5mm nib (Blue) 5mm",36,2.7,15,36,23-11-17
1517,541,70,"Ride on toy sedan car (Green) 1/12 scale",8,230,15,8,23-11-17
1518,541,127,"Plush shark slippers (Gray) M",5,32,15,5,23-11-17
1519,542,113,"Superhero action jacket (Blue) XL",4,30,15,4,23-05-31
1520,542,109,"Superhero action jacket (Blue) XS",8,25,15,8,23-05-31
1521,542,181,"Shipping carton (Brown) 356x229x229mm",100,1.14,15,100,23-05-31
1522,542,102,"Alien officer hoodie (Black) XL",10,35,15,10,23-05-31
1523,542,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",24,18,15,24,23-05-31
1524,543,200,"Black and yellow heavy despatch tape 48mmx100m",168,4.1,15,168,24-11-01
1525,543,28,"DBA joke mug - two types of DBAs (White)",8,13,15,8,24-11-01
1526,543,148,"Halloween skull mask (Gray) L",12,18,15,12,24-11-01
1527,543,169,"20 mm Anti static bubble wrap (Blue) 20m",70,45,15,70,24-11-01
1528,544,177,"Shipping carton (Brown) 413x285x187mm",175,1.05,15,175,24-07-07
1529,544,108,"Superhero action jacket (Blue) XXS",8,25,15,8,24-07-07
1530,544,183,"Shipping carton (Brown) 480x270x320mm",75,2.74,15,75,24-07-07
1531,544,20,"DBA joke mug - you might be a DBA if (White)",4,13,15,4,24-07-07
1532,545,142,"Halloween zombie mask (Light Brown) S",108,18,15,108,24-12-05
1533,545,159,"20 mm Double sided bubble wrap 10m",60,18,15,60,24-12-05
1534,545,73,"Ride on vintage American toy coupe (Red) 1/12 scale",3,285,15,3,24-12-05
1535,546,23,"DBA joke mug - it depends (Black)",7,13,15,7,23-06-06
1536,546,116,"Superhero action jacket (Blue) 4XL",9,34,15,9,23-06-06
1537,547,107,"Superhero action jacket (Blue) 3XS",6,25,15,6,24-08-17
1538,547,81,"""The Gu"" red shirt XML tag t-shirt (White) L",60,18,15,60,24-08-17
1539,547,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",12,18,15,12,24-08-17
1540,548,166,"10 mm Anti static bubble wrap (Blue) 20m",30,42,15,30,23-09-20
1541,548,218,"Void fill 300 L bag (White) 300L",90,37.5,15,90,23-09-20
1542,548,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",5,13,15,5,23-09-20
1543,548,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",24,18,15,24,23-09-20
1544,548,183,"Shipping carton (Brown) 480x270x320mm",225,2.74,15,225,23-09-20
1545,549,47,"Developer joke mug - a foo walks into a bar (Black)",7,13,15,7,24-05-07
1546,549,207,"Permanent marker blue 5mm nib (Blue) 5mm",96,2.7,15,96,24-05-07
1547,549,118,"Dinosaur battery-powered slippers (Green) S",4,32,15,4,24-05-07
1548,550,54,"IT joke mug - that behavior is by design (White)",10,13,15,10,23-04-29
1549,550,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",96,18,15,96,23-04-29
1550,551,186,"Shipping carton (Brown) 457x457x457mm",125,2.1,15,125,23-01-31
1551,551,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",36,18,15,36,23-01-31
1552,551,11,"USB food flash drive - cookie",1,32,15,1,23-01-31
1553,552,24,"DBA joke mug - I will get you in order (White)",8,13,15,8,23-02-12
1554,552,141,"Furry animal socks (Pink) XL",24,5,15,24,23-02-12
1555,552,185,"Shipping carton (Brown) 356x356x279mm",225,2.04,15,225,23-02-12
1556,552,87,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",12,18,15,12,23-02-12
1557,553,171,"32 mm Anti static bubble wrap (Blue) 10m",40,32,15,40,23-06-02
1558,553,4,"USB food flash drive - sushi roll",3,32,15,3,23-06-02
1559,553,214,"Air cushion film 200mmx200mm 325m",5,90,15,5,23-06-02
1560,553,79,"""The Gu"" red shirt XML tag t-shirt (White) S",120,18,15,120,23-06-02
1561,553,13,"USB food flash drive - shrimp cocktail",7,32,15,7,23-06-02
1562,554,219,"Void fill 400 L bag (White) 400L",70,50,15,70,24-09-25
1563,554,204,"Tape dispenser (Red)",10,32,15,10,24-09-25
1564,554,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",12,18,15,12,24-09-25
1565,554,111,"Superhero action jacket (Blue) M",1,30,15,1,24-09-25
1566,554,209,"Packing knife with metal insert blade (Yellow) 9mm",50,1.89,15,50,24-09-25
1567,555,164,"32 mm Double sided bubble wrap 50m",20,112,15,20,24-10-06
1568,555,6,"USB food flash drive - hot dog",5,32,15,5,24-10-06
1569,555,174,"Bubblewrap dispenser (Black) 1.5m",1,240,15,1,24-10-06
1570,555,181,"Shipping carton (Brown) 356x229x229mm",100,1.14,15,100,24-10-06
1571,556,200,"Black and yellow heavy despatch tape 48mmx100m",72,4.1,15,72,23-07-07
1572,556,65,"RC vintage American toy coupe with remote control (Black) 1/50 scale",10,30,15,10,23-07-07
1573,556,26,"DBA joke mug - SELECT caffeine FROM mug (White)",10,13,15,10,23-07-07
1574,556,182,"Shipping carton (Brown) 457x279x279mm",75,1.28,15,75,23-07-07
1575,557,178,"Shipping carton (Brown) 500x310x310mm",125,2.55,15,125,24-11-23
1576,557,18,"DBA joke mug - daaaaaa-ta (White)",6,13,15,6,24-11-23
1577,558,55,"IT joke mug - that behavior is by design (Black)",8,13,15,8,23-11-09
1578,592,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",84,18,15,84,24-06-16
1579,558,14,"USB food flash drive - fortune cookie",7,32,15,7,23-11-09
1580,559,135,"Animal with big feet slippers (Brown) M",3,32,15,3,24-02-25
1581,559,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",108,18,15,108,24-02-25
1582,560,194,"Black and orange glass with care despatch tape  48mmx100m",24,4.1,15,24,24-07-30
1583,560,48,"Developer joke mug - this code was generated by a tool (White)",4,13,15,4,24-07-30
1584,560,54,"IT joke mug - that behavior is by design (White)",8,13,15,8,24-07-30
1585,561,115,"Superhero action jacket (Blue) 3XL",4,34,15,4,24-05-12
1586,561,212,"Large  replacement blades 18mm",90,4.3,15,90,24-05-12
1587,561,101,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",60,18,15,60,24-05-12
1588,562,20,"DBA joke mug - you might be a DBA if (White)",10,13,15,10,24-08-18
1589,562,139,"Furry animal socks (Pink) M",108,5,15,108,24-08-18
1590,591,77,"""The Gu"" red shirt XML tag t-shirt (White) XXS",60,18,15,60,24-01-14
1591,562,191,"Black and orange fragile despatch tape 48mmx75m",72,3.7,15,72,24-08-18
1592,563,55,"IT joke mug - that behavior is by design (Black)",7,13,15,7,23-12-13
1593,563,198,"Black and orange this way up despatch tape  48mmx100m",168,4.1,15,168,23-12-13
1594,564,15,"USB food flash drive - dessert 10 drive variety pack",10,240,15,10,24-11-14
1595,564,102,"Alien officer hoodie (Black) XL",8,35,15,8,24-11-14
1596,564,126,"Plush shark slippers (Gray) S",7,32,15,7,24-11-14
1597,565,165,"10 mm Anti static bubble wrap (Blue) 10m",70,26,15,70,23-10-14
1598,565,181,"Shipping carton (Brown) 356x229x229mm",150,1.14,15,150,23-10-14
1599,565,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",108,18,15,108,23-10-14
1600,565,153,"Small sized bubblewrap roll 10m",10,4.5,15,10,23-10-14
1601,565,79,"""The Gu"" red shirt XML tag t-shirt (White) S",36,18,15,36,23-10-14
1602,566,145,"Halloween zombie mask (Light Brown) XL",84,18,15,84,24-10-04
1603,590,204,"Tape dispenser (Red)",80,32,15,80,23-01-21
1604,567,153,"Small sized bubblewrap roll 10m",40,4.5,15,40,24-06-14
1605,567,216,"Void fill 100 L bag (White) 100L",60,12.5,15,60,24-06-14
1606,567,136,"Animal with big feet slippers (Brown) L",6,32,15,6,24-06-14
1607,567,116,"Superhero action jacket (Blue) 4XL",7,34,15,7,24-06-14
1608,567,85,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",60,18,15,60,24-06-14
1609,568,107,"Superhero action jacket (Blue) 3XS",8,25,15,8,23-03-30
1610,568,72,"Ride on toy sedan car (Pink) 1/12 scale",10,230,15,10,23-03-30
1611,568,9,"USB food flash drive - banana",4,32,15,4,23-03-30
1612,569,111,"Superhero action jacket (Blue) M",2,30,15,2,23-06-10
1613,569,106,"Alien officer hoodie (Black) 5XL",7,35,15,7,23-06-10
1614,569,122,"Ogre battery-powered slippers (Green) S",4,32,15,4,23-06-10
1615,569,70,"Ride on toy sedan car (Green) 1/12 scale",1,230,15,1,23-06-10
1616,569,124,"Ogre battery-powered slippers (Green) L",4,32,15,4,23-06-10
1617,570,159,"20 mm Double sided bubble wrap 10m",70,18,15,70,24-05-20
1618,570,23,"DBA joke mug - it depends (Black)",3,13,15,3,24-05-20
1619,570,14,"USB food flash drive - fortune cookie",4,32,15,4,24-05-20
1620,570,49,"Developer joke mug - this code was generated by a tool (Black)",3,13,15,3,24-05-20
1621,571,3,"Office cube periscope (Black)",100,18.5,15,100,24-07-30
1622,571,78,"""The Gu"" red shirt XML tag t-shirt (White) XS",12,18,15,12,24-07-30
1623,571,213,"Air cushion film 200mmx100mm 325m",2,87,15,2,24-07-30
1624,571,59,"RC toy sedan car with remote control (Red) 1/50 scale",1,25,15,1,24-07-30
1625,572,27,"DBA joke mug - SELECT caffeine FROM mug (Black)",1,13,15,1,23-02-17
1626,572,119,"Dinosaur battery-powered slippers (Green) M",7,32,15,7,23-02-17
1627,573,54,"IT joke mug - that behavior is by design (White)",10,13,15,10,24-03-22
1628,573,157,"10 mm Double sided bubble wrap 20m",50,30,15,50,24-03-22
1629,574,129,"Plush shark slippers (Gray) XL",1,32,15,1,24-10-14
1630,574,139,"Furry animal socks (Pink) M",48,5,15,48,24-10-14
1631,575,86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",24,18,15,24,24-11-25
1632,575,127,"Plush shark slippers (Gray) M",10,32,15,10,24-11-25
1633,575,183,"Shipping carton (Brown) 480x270x320mm",250,2.74,15,250,24-11-25
1634,575,59,"RC toy sedan car with remote control (Red) 1/50 scale",6,25,15,6,24-11-25
1635,575,115,"Superhero action jacket (Blue) 3XL",2,34,15,2,24-11-25
1636,576,140,"Furry animal socks (Pink) L",120,5,15,120,23-04-29
1637,576,173,"32 mm Anti static bubble wrap (Blue) 50m",10,105,15,10,23-04-29
1638,576,3,"Office cube periscope (Black)",30,18.5,15,30,23-04-29
1639,576,195,"Black and orange handle with care despatch tape  48mmx75m",144,3.7,15,144,23-04-29
